code,name,price,pct,hss,lb,score,rating,reasons
688662,富信科技,71.78,15.49,5.65,88240000.0,80,S级,涨停板; 换手5.7%
605268,王力安防,16.86,9.98,7.09,446302500.0,80,S级,涨停板; 换手7.1%
600769,祥龙电业,13.65,9.99,15.43,374977200.0,80,S级,涨停板; 换手15.4%
002632,道明光学,13.64,10.0,8.24,624599090.0,80,S级,涨停板; 换手8.2%
603949,雪龙集团,19.49,9.99,5.89,210736706.0,80,S级,涨停板; 换手5.9%
603269,海鸥股份,17.93,10.0,5.3,308751768.0,80,S级,涨停板; 换手5.3%
001332,锡装股份,65.55,10.0,8.08,110490000.0,80,S级,涨停板; 换手8.1%
001400,江顺科技,146.04,10.0,6.39,60000000.0,80,S级,涨停板; 换手6.4%
301607,富特科技,52.4,13.37,12.8,155420399.0,80,S级,涨停板; 换手12.8%
002729,好利科技,19.18,9.98,7.29,182969920.0,80,S级,涨停板; 换手7.3%
603115,海星股份,32.0,10.0,7.13,241890400.0,80,S级,涨停板; 换手7.1%
301373,凌玮科技,76.2,11.39,6.34,108472091.0,80,S级,涨停板; 换手6.3%
688127,蓝特光学,64.93,13.65,19.44,405897700.0,75,A级,涨停板; 换手19.4%
301535,浙江华远,30.02,11.23,7.46,425294118.0,75,A级,涨停板; 换手7.5%
688726,拉普拉斯,68.8,11.15,16.2,405326189.0,75,A级,涨停板; 换手16.2%
300953,震裕科技,171.56,10.26,11.38,173477731.0,75,A级,涨停板; 换手11.4%
300969,恒帅股份,140.23,10.42,9.67,112002595.0,75,A级,涨停板; 换手9.7%
002290,禾盛新材,67.21,10.0,16.36,248112330.0,75,A级,涨停板; 换手16.4%
688692,达梦数据,254.8,10.31,14.85,113240000.0,75,A级,涨停板; 换手14.8%
600726,华电能源,3.21,9.93,6.83,7907336210.0,75,A级,涨停板; 换手6.8%
002536,飞龙股份,38.09,9.99,8.57,574785888.0,75,A级,涨停板; 换手8.6%
688807,优迅股份,259.13,14.17,11.27,80000000.0,75,A级,涨停板; 换手11.3%
002636,金安国纪,27.87,9.98,5.04,728000000.0,75,A级,涨停板; 换手5.0%
300811,铂科新材,92.0,17.23,10.94,289800284.0,75,A级,涨停板; 换手10.9%
002993,奥海科技,50.08,9.99,7.26,276040000.0,75,A级,涨停板; 换手7.3%
688300,联瑞新材,99.96,20.0,18.38,241469190.0,75,A级,涨停板; 换手18.4%
002903,宇环数控,30.37,10.0,0.38,156698000.0,70,A级,涨停板; 量比156698000.0
603421,鼎信通讯,9.21,10.04,-11.33,652190511.0,70,A级,涨停板; 量比652190511.0
002445,中南文化,3.37,10.13,3.72,2376607531.0,70,A级,涨停板; 量比2376607531.0
301387,光大同创,64.83,10.07,1.71,106747204.0,70,A级,涨停板; 量比106747204.0
300936,中英科技,58.54,20.01,-0.71,75200000.0,70,A级,涨停板; 量比75200000.0
600135,乐凯胶片,11.06,10.05,-3.5602,553307099.0,70,A级,涨停板; 量比553307099.0
603017,中衡设计,13.48,10.04,3.77,276190293.0,70,A级,涨停板; 量比276190293.0
605287,德才股份,51.54,10.01,3.18,140000000.0,70,A级,涨停板; 量比140000000.0
002350,北京科锐,15.22,9.97,1.75,542331351.0,70,A级,涨停板; 量比542331351.0
002298,中电鑫龙,12.41,10.02,1.34,740110901.0,70,A级,涨停板; 量比740110901.0
002575,群兴玩具,8.82,9.98,-2.6,616500000.0,70,A级,涨停板; 量比616500000.0
605318,法狮龙,76.84,10.01,-0.22,125729028.0,70,A级,涨停板; 量比125729028.0
