date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,002594,197.0,196.34,199.96,195.61,152372.0,3021632365.0,2.21,-0.03,-0.05,1.31
20231206,002594,196.35,201.19,201.24,196.0,176347.0,3523669817.72,2.67,2.47,4.85,1.51
20231207,002594,201.19,199.45,201.2,197.3,103169.0,2051259486.34,1.94,-0.86,-1.74,0.89
20231208,002594,199.03,198.55,200.36,198.32,77700.0,1547061882.45,1.02,-0.45,-0.9,0.67
20231211,002594,196.75,199.19,199.58,194.64,101086.0,1989856427.67,2.49,0.32,0.64,0.87
20231212,002594,198.18,196.33,198.73,196.12,79797.0,1572793711.16,1.31,-1.44,-2.86,0.69
20231213,002594,195.82,191.8,195.82,191.72,117535.0,2270646820.88,2.09,-2.31,-4.53,1.01
20231214,002594,193.0,191.18,196.18,191.11,92497.0,1787086925.23,2.64,-0.32,-0.62,0.79
20231215,002594,193.08,193.28,194.39,191.08,101841.0,1966549057.21,1.73,1.1,2.1,0.87
20231218,002594,191.06,189.06,192.5,188.31,100511.0,1906643035.57,2.17,-2.18,-4.22,0.86
20231219,002594,188.53,188.0,188.68,186.16,79370.0,1487629708.83,1.33,-0.56,-1.06,0.68
20231220,002594,188.33,184.88,189.33,184.87,84925.0,1585187696.77,2.37,-1.66,-3.12,0.73
20231221,002594,183.33,189.68,189.98,182.85,133149.0,2494208947.45,3.86,2.6,4.8,1.14
20231222,002594,189.9,192.25,195.38,188.04,117998.0,2267509852.29,3.87,1.35,2.57,1.01
20231225,002594,193.0,192.18,194.2,190.21,53770.0,1032287275.25,2.08,-0.04,-0.07,0.46
20231226,002594,192.16,191.75,192.16,190.0,41380.0,790091023.1,1.12,-0.22,-0.43,0.36
20231227,002594,193.0,191.45,193.5,190.7,61364.0,1174486108.27,1.46,-0.16,-0.3,0.53
20231228,002594,191.03,198.05,198.66,190.66,138778.0,2722971139.94,4.18,3.45,6.6,1.19
20231229,002594,198.97,198.0,199.8,197.15,80367.0,1591969845.9,1.34,-0.03,-0.05,0.69
20240102,002594,199.61,192.6,199.62,192.37,113928.0,2212162400.36,3.66,-2.73,-5.4,0.98
20240103,002594,192.5,193.17,193.87,190.7,84486.0,1624093056.05,1.65,0.3,0.57,0.73
20240104,002594,194.34,193.02,194.65,191.1,89870.0,1731882120.2,1.84,-0.08,-0.15,0.77
20240105,002594,192.47,192.68,197.5,191.13,112402.0,2187835615.06,3.3,-0.18,-0.34,0.97
20240108,002594,192.8,189.4,193.66,189.15,81078.0,1543893918.74,2.34,-1.7,-3.28,0.7
20240109,002594,191.0,192.86,196.0,190.2,112187.0,2167747851.79,3.06,1.83,3.46,0.96
20240110,002594,191.7,190.29,193.3,189.6,71416.0,1364589161.69,1.92,-1.33,-2.57,0.61
20240111,002594,190.2,196.78,198.7,188.81,159862.0,3120354835.76,5.2,3.41,6.49,1.37
20240112,002594,196.78,195.87,198.25,195.29,87023.0,1711086655.61,1.5,-0.46,-0.91,0.75
20240115,002594,194.72,194.61,197.0,192.42,70220.0,1364639692.18,2.34,-0.64,-1.26,0.6
20240116,002594,193.9,195.3,196.55,193.07,83809.0,1633959522.52,1.79,0.35,0.69,0.72
20240117,002594,194.2,186.8,194.55,186.8,160795.0,3050944390.44,3.97,-4.35,-8.5,1.38
20240118,002594,185.65,190.48,191.0,184.91,114592.0,2150839668.13,3.26,1.97,3.68,0.98
20240119,002594,189.49,189.34,192.96,188.7,80905.0,1540978198.75,2.24,-0.6,-1.14,0.69
20240122,002594,188.87,185.34,191.3,184.56,132240.0,2487370788.56,3.56,-2.11,-4.0,1.14
20240123,002594,185.0,187.85,188.96,184.3,110726.0,2072060503.59,2.51,1.35,2.51,0.95
20240124,002594,189.28,188.7,189.85,184.08,96641.0,1805379382.4,3.07,0.45,0.85,0.83
20240125,002594,188.88,189.9,190.9,185.66,130769.0,2470818453.07,2.78,0.64,1.2,1.12
20240126,002594,189.0,185.86,189.0,185.5,115855.0,2160578276.22,1.84,-2.13,-4.04,1.0
20240129,002594,185.9,178.44,186.0,178.31,146043.0,2647388165.71,4.14,-3.99,-7.42,1.25
20240130,002594,173.08,171.97,175.48,170.3,190761.0,3296016841.46,2.9,-3.63,-6.47,1.64
