日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,57.71,0.26,-13398192.0,-0.35,-177679600.0,-4.68,164281408.0,4.33,-84071920.0,-2.21,97470096.0,2.57
2025-09-03,56.83,-1.52,-386399728.0,-9.31,-369157232.0,-8.89,-17242496.0,-0.42,-101094864.0,-2.44,487494576.0,11.75
2025-09-04,56.55,-0.49,-191953392.0,-4.59,-204790448.0,-4.9,12837056.0,0.31,163600384.0,3.91,28353008.0,0.68
2025-09-05,56.95,0.71,43368384.0,1.35,-27408448.0,-0.85,70776832.0,2.21,-218393360.0,-6.81,175024960.0,5.46
2025-09-08,56.75,-0.35,-61507504.0,-2.19,100541680.0,3.57,-162049184.0,-5.76,-147335568.0,-5.24,208843072.0,7.42
2025-09-09,57.05,0.53,71280816.0,2.37,126965200.0,4.23,-55684384.0,-1.85,-110353648.0,-3.67,39072832.0,1.3
2025-09-10,56.92,-0.23,68340320.0,3.82,45165216.0,2.53,23175104.0,1.3,-35269248.0,-1.97,-33071088.0,-1.85
2025-09-11,57.74,1.44,78694160.0,2.27,95737920.0,2.76,-17043760.0,-0.49,3752912.0,0.11,-82447088.0,-2.38
2025-09-12,56.73,-1.75,-647626560.0,-15.14,-563338640.0,-13.17,-84287920.0,-1.97,326714784.0,7.64,320911776.0,7.5
2025-09-15,56.38,-0.62,-596169792.0,-18.94,-448569248.0,-14.25,-147600544.0,-4.69,176145568.0,5.6,420024224.0,13.34
2025-09-16,55.67,-1.26,-760638736.0,-19.53,-709998512.0,-18.23,-50640224.0,-1.3,322755120.0,8.29,437883616.0,11.24
2025-09-17,55.62,-0.09,-604817584.0,-15.6,-751845424.0,-19.39,147027840.0,3.79,349647712.0,9.02,255169872.0,6.58
2025-09-18,54.33,-2.32,-844304784.0,-14.94,-267797008.0,-4.74,-576507776.0,-10.2,253326736.0,4.48,590978048.0,10.46
2025-09-19,54.15,-0.33,35823280.0,1.19,-52006416.0,-1.73,87829696.0,2.92,-155100784.0,-5.16,119277520.0,3.96
2025-09-22,54.2,0.09,-7431040.0,-0.36,25866816.0,1.25,-33297856.0,-1.61,-59659488.0,-2.88,67090528.0,3.24
2025-09-23,54.07,-0.24,-100653216.0,-2.97,-103523680.0,-3.06,2870464.0,0.08,-52742576.0,-1.56,153395792.0,4.53
